trial,failure_kind,recovered,loss,ska_delta,mamba_expand,depth_tier,d_state,ska_n_heads,ska_rank,n_ska_layers,placement,ska_ridge,ska_layerscale_init,norm_clip_multiplier,gamma_value,ska_power_K,beta_policy,learning_rate,weight_decay,warmup_ratio,grad_clip
961,oom,True,4.184479117393494,0.19945377111434937,3,full,24,8,32,6,late,0.006605118411148863,0.16542831114047457,0.8164965809277261,0.9,1,linear,0.005366877266929204,0.15,0.06,1.0
1236,oom,True,4.270423591136932,0.15812212228775024,3,lean,32,2,32,6,late,0.006492054513714221,0.03716224360515994,1.25,1.05,1,linear,0.004040727763777851,0.15,0.01,1.0
1256,quota,True,4.228724002838135,0.17508947849273682,3,full,24,2,32,6,late,0.02333724266671563,0.26394572901823665,1.25,0.9,1,linear,0.0049156709623849205,0.15,0.02,1.0
1271,quota,True,4.190279483795166,0.1695704460144043,3,full,16,4,32,3,late,0.006781046668109189,0.039275508105506625,1.0,1.0,1,linear,0.005155398352899228,0.15,0.06,1.0
1282,quota,True,4.210484147071838,0.11548030376434326,3,full,32,2,32,6,midlate,0.012037577532695572,0.20365418208834338,0.8164965809277261,1.05,1,head_scalar,0.005275963100038075,0.1,0.06,1.0
1296,oom,True,4.202068746089935,0.1730363368988037,3,full,24,2,32,4,even,0.003762347246044414,0.027000095726153892,1.25,1.05,1,linear,0.0050013978097727865,0.15,0.06,1.0
1384,oom,True,4.209652900695801,0.18755370378494263,3,full,8,8,32,6,late,0.012792493243429385,0.10900228837291728,0.8164965809277261,0.9,1,linear,0.005416875669269939,0.15,0.06,1.0
1616,oom,True,4.196663558483124,0.1665998101234436,3,full,32,8,32,6,even,0.025169956807553955,0.08079127006608336,0.8164965809277261,0.9,1,learned,0.005294627737307469,0.05,0.06,0.5
1811,oom,True,4.1940977573394775,0.18550163507461548,3,lean,24,8,32,6,late,0.021796522522384724,0.2085022921556482,1.25,1.0,1,learned,0.0049168976483150795,0.15,0.06,1.0
1913,oom,True,4.1863067746162415,0.1777082085609436,3,full,32,8,32,6,even,0.012358243810506379,0.06195197795803829,0.75,0.9,1,linear,0.005296025359301477,0.1,0.04,1.0
1958,oom,True,4.251940488815308,0.15006428956985474,3,lean,32,2,32,6,late,0.01140074399083057,0.04856769703337761,0.8164965809277261,1.0,1,learned,0.004075123982515244,0.1,0.06,1.0
1986,quota,True,4.290198504924774,0.042369961738586426,3,full,32,2,32,6,late,0.01364254182415463,0.20646073449246258,0.75,0.9,2,linear,0.004289644510427573,0.15,0.04,0.5
